DATE,END,RATIO,GOES,START,HIGH,LOW,TRADE,AMT
1994-11-01,1108.43,2.81,0.25,1106.03,1116.82,1106.03,51203,1156260000000 
1994-11-02,1105.74,-2.69,-0.24,1108.27,1117.05,1105.39,53117,1210750000000 
1994-11-03,1117.73,11.99,1.08,1105.71,1119.57,1105.71,59463,1334800000000 
1994-11-04,1119.52,1.79,0.16,1118.5,1130.05,1118.5,66511,1442990000000 
1994-11-05,1125.01,5.49,0.49,1121.61,1131.53,1121.61,39544,901806000000 
1994-11-07,1132.99,7.98,0.71,1124.94,1144.68,1124.94,60524,1264260000000 
1994-11-08,1138.75,5.76,0.51,1133.24,1143.47,1127.85,53920,1131290000000 
1994-11-09,1138.39,-0.36,-0.03,1139.21,1145.66,1135.81,57175,1222300000000 
1994-11-10,1126.87,-11.52,-1.01,1138.39,1140.97,1126.87,48439,1011780000000 
1994-11-11,1122.57,-4.3,-0.38,1126.82,1137.85,1121.79,44520,990577000000 
1994-11-12,1116.23,-6.34,-0.56,1123.99,1131.07,1114.08,26279,611503000000 
1994-11-15,1125.8,-2.77,-0.25,1129.08,1136.89,1125.55,43651,993676000000 
1994-11-16,1118.75,-7.05,-0.63,1125.84,1128.85,1117.05,42158,945949000000 
1994-11-17,1120.63,1.88,0.17,1118.75,1125.11,1115.02,44484,1015790000000 
1994-11-18,1118.44,-2.19,-0.2,1120.7,1126.88,1112.95,48704,1092420000000 
1994-11-21,1117.08,-0.49,-0.04,1117.8,1126.26,1116.78,52859,1123430000000 
1994-11-22,1106.7,-10.38,-0.93,1117.11,1121.94,1106.65,49503,1037670000000 
1994-11-24,1085.16,-10.81,-0.99,1095.91,1100.98,1085.15,43334,910327000000 
1994-11-25,1079.34,-5.82,-0.54,1085.18,1092.32,1074.38,39672,831736000000 
1994-11-26,1081.45,2.11,0.2,1078.72,1087.46,1078.6,25641,582395000000 
1994-11-28,1069.48,-11.97,-1.11,1081.54,1087.41,1069.45,30989,704509000000 
1994-11-29,1081.26,11.78,1.1,1069.65,1082.73,1069.41,31155,718339000000 
1994-11-30,1074.41,-6.85,-0.63,1081.66,1092.08,1074.39,38153,918155000000 
1994-12-01,1066.21,-8.2,-0.76,1074.19,1080.69,1063.3,60321,1498230000000 
1994-12-02,1053.63,-12.58,-1.18,1066.76,1067.82,1052.87,41482,901776000000 
1994-12-03,1054.03,0.4,0.04,1053.78,1065.59,1052.24,30518,670628000000 
1994-12-05,1065.03,11,1.04,1053.18,1067.77,1053.17,44916,978839000000 
1994-12-06,1075.01,9.98,0.94,1065.31,1079.83,1065.31,49927,1115400000000 
1994-12-07,1068.93,-6.08,-0.57,1074.97,1080.83,1068.36,51011,1114570000000 
1994-12-08,1053.7,-15.23,-1.42,1068.4,1068.94,1053.11,53017,1084670000000 
1994-12-09,1037.67,-16.03,-1.52,1053.56,1053.6,1037.16,51691,1074260000000 
1994-12-10,1033.27,-4.4,-0.42,1037.39,1038.38,1024.38,27001,520660000000 
1994-12-12,1042.78,9.51,0.92,1034.12,1045.34,1033.83,43042,802381000000 
1994-12-13,1025.89,-16.89,-1.62,1042.84,1046.49,1025.88,39592,726940000000 
1994-12-14,1026.62,0.73,0.07,1025.57,1034.38,1019.21,34858,667214000000 
1994-12-15,1027.87,1.25,0.12,1026.36,1036.74,1026.09,33742,650132000000 
1994-12-16,1036.76,8.89,0.86,1023.4,1038.12,1022.92,29666,608389000000 
1994-12-17,1036.54,-0.22,-0.02,1036.8,1040.02,1036.32,22141,473226000000 
1994-12-19,1028.62,-7.92,-0.76,1036.64,1037.36,1028.35,33047,676975000000 
1994-12-20,1023.99,-4.63,-0.45,1028.8,1032.63,1023.26,36517,799997000000 
1994-12-21,1026.86,2.87,0.28,1023.99,1033.21,1023.56,40931,877829000000 
1994-12-22,1040.2,13.34,1.3,1026.94,1041.04,1026.94,45468,956557000000 
1994-12-23,1040.55,0.35,0.03,1040.24,1053.95,1039.94,48894,1020190000000 
1994-12-24,1035.82,-4.73,-0.45,1040.85,1047.86,1035.77,36438,765858000000 
1994-12-26,1024.6,-11.22,-1.08,1035.76,1039.11,1024.58,51672,1090390000000 
1994-12-28,1027.37,2.04,0.2,1025.29,1033.96,1025.29,50778,1076050000000 
1995-01-03,1013.57,-13.8,-1.34,1027.45,1030.65,1013.55,19069,383113000000 
1995-01-04,997.01,-16.56,-1.63,1013.98,1013.98,995.48,39349,792822000000 
1995-01-05,976.06,-20.95,-2.1,996.57,997.1,975.79,53407,1029050000000 
1995-01-06,975.32,-0.74,-0.08,975.94,982.58,969.68,50930,1019260000000 
1995-01-07,988.8,13.48,1.38,975.35,993.61,975.18,33844,683946000000 
1995-01-09,998.32,9.52,0.96,989.02,1001.94,989.02,51622,980916000000 
1995-01-10,993.44,-4.88,-0.49,998.43,1007.2,992.92,46922,896482000000 
1995-01-11,999.08,5.64,0.57,993.5,1007.19,993.31,41212,838603000000 
1995-01-12,1000.77,1.69,0.17,999.11,1011.69,999.06,43802,888332000000 
1995-01-13,976.59,-24.18,-2.42,1000.81,1003.73,976.59,37069,824077000000 
1995-01-14,969.56,-7.03,-0.72,976.05,976.05,946.32,27535,561615000000 
1995-01-16,957.88,-11.68,-1.2,969.01,969.01,957.63,32081,656894000000 
1995-01-17,956.96,-0.92,-0.1,957.93,968.68,949.37,32860,721819000000 
1995-01-18,966.66,9.7,1.01,956.88,974.47,956.88,29913,660558000000 
1995-01-19,974.9,8.24,0.85,966.53,980.06,966.53,31663,689805000000 
1995-01-20,973.06,-1.84,-0.19,974.93,980.9,973.02,30118,683237000000 
1995-01-21,955.11,-17.95,-1.84,973.04,973.08,955.11,21153,464930000000 
1995-01-23,935.38,-19.73,-2.07,955.02,955.02,935.38,24445,493704000000 
1995-01-24,916.83,-18.55,-1.98,934.96,934.96,916.83,25256,481299000000 
1995-01-25,916.85,0.02,0,916.77,929.28,905.05,25527,506252000000 
1995-01-26,927.85,11,1.2,916.76,934.9,916.43,27066,524222000000 
1995-01-27,907.05,-20.8,-2.24,927.59,927.59,905.71,21561,457794000000 
1995-01-28,925.56,18.51,2.04,906.71,926.58,906.71,18137,367725000000 
1995-02-02,943.35,17.79,1.92,925.6,947.93,925.6,18748,393799000000 
1995-02-03,940.64,-2.71,-0.29,943.42,946.06,933.62,24879,506732000000 
1995-02-04,951.88,11.24,1.19,940.73,953.86,938.78,21561,439419000000 
1995-02-06,945.27,-6.61,-0.69,951.82,963.14,944.62,29734,593591000000 
1995-02-07,942.52,-2.75,-0.29,945.63,952.96,941.02,23624,505121000000 
1995-02-08,958.35,15.83,1.68,942.7,961.47,942.7,26584,580621000000 
1995-02-09,963.77,5.42,0.57,958.79,968.55,958.79,27203,630702000000 
1995-02-10,955.31,-8.46,-0.88,963.85,966.34,953.97,25655,580573000000 
1995-02-11,953.71,-1.6,-0.17,955.14,959.24,949.35,17045,374574000000 
1995-02-13,957.1,3.39,0.36,954.95,961.82,954.95,24686,540751000000 
1995-02-14,941.49,-15.61,-1.63,957.13,960.16,937.66,23670,515858000000 
1995-02-15,926.09,-15.4,-1.64,941.48,941.85,924.88,20383,440265000000 
1995-02-16,923.49,-2.6,-0.28,925.95,925.95,911.07,22299,427792000000 
1995-02-17,910.22,-13.27,-1.44,923.38,925.86,910.17,20715,380407000000 
1995-02-18,909.44,-0.78,-0.09,909.54,909.54,895.34,14943,271077000000 
1995-02-20,929.23,19.79,2.18,909.54,929.42,909.52,23056,414232000000 
1995-02-21,917.75,-11.48,-1.24,929.21,934.56,917.73,20637,391806000000 
