DATE,END,RATIO,GOES,START,HIGH,LOW,TRADE,AMT
1994-11-01,11.0843,2.81,0.25,1106.03,1116.82,1106.03,10.8435534,1.15626E+12
1994-11-02,11.0574,-2.69,-0.24,1108.27,1117.05,1105.39,10.88025231,1.21075E+12
1994-11-03,11.1773,11.99,1.08,1105.71,1119.57,1105.71,10.99310955,1.3348E+12
1994-11-04,11.1952,1.79,0.16,1118.5,1130.05,1118.5,11.10512263,1.44299E+12
1994-11-05,11.2501,5.49,0.49,1121.61,1131.53,1121.61,10.58516925,9.01806E+11
1994-11-07,11.3299,7.98,0.71,1124.94,1144.68,1124.94,11.01079526,1.26426E+12
1994-11-08,11.3875,5.76,0.51,1133.24,1143.47,1127.85,10.89525675,1.13129E+12
1994-11-09,11.3839,-0.36,-0.03,1139.21,1145.66,1135.81,10.95387202,1.2223E+12
1994-11-10,11.2687,-11.52,-1.01,1138.39,1140.97,1126.87,10.78806055,1.01178E+12
1994-11-11,11.2257,-4.3,-0.38,1126.82,1137.85,1121.79,10.70369381,9.90577E+11
1994-11-12,11.1623,-6.34,-0.56,1123.99,1131.07,1114.08,10.17652542,6.11503E+11
1994-11-15,11.258,-2.77,-0.25,1129.08,1136.89,1125.55,10.68398147,9.93676E+11
1994-11-16,11.1875,-7.05,-0.63,1125.84,1128.85,1117.05,10.64917974,9.45949E+11
1994-11-17,11.2063,1.88,0.17,1118.75,1125.11,1115.02,10.70288485,1.01579E+12
1994-11-18,11.1844,-2.19,-0.2,1120.7,1126.88,1112.95,10.79351644,1.09242E+12
1994-11-21,11.1708,-0.49,-0.04,1117.8,1126.26,1116.78,10.87538327,1.12343E+12
1994-11-22,11.067,-10.38,-0.93,1117.11,1121.94,1106.65,10.80978855,1.03767E+12
1994-11-24,10.8516,-10.81,-0.99,1095.91,1100.98,1085.15,10.67669283,9.10327E+11
1994-11-25,10.7934,-5.82,-0.54,1085.18,1092.32,1074.38,10.58840093,8.31736E+11
1994-11-26,10.8145,2.11,0.2,1078.72,1087.46,1078.6,10.15194791,5.82395E+11
1994-11-28,10.6948,-11.97,-1.11,1081.54,1087.41,1069.45,10.34138758,7.04509E+11
1994-11-29,10.8126,11.78,1.1,1069.65,1082.73,1069.41,10.34673002,7.18339E+11
1994-11-30,10.7441,-6.85,-0.63,1081.66,1092.08,1074.39,10.54935967,9.18155E+11
1994-12-01,10.6621,-8.2,-0.76,1074.19,1080.69,1063.3,11.00743558,1.49823E+12
1994-12-02,10.5363,-12.58,-1.18,1066.76,1067.82,1052.87,10.63301488,9.01776E+11
1994-12-03,10.5403,0.4,0.04,1053.78,1065.59,1052.24,10.32607195,6.70628E+11
1994-12-05,10.6503,11,1.04,1053.18,1067.77,1053.17,10.71254936,9.78839E+11
1994-12-06,10.7501,9.98,0.94,1065.31,1079.83,1065.31,10.81831722,1.1154E+12
1994-12-07,10.6893,-6.08,-0.57,1074.97,1080.83,1068.36,10.83979657,1.11457E+12
1994-12-08,10.537,-15.23,-1.42,1068.4,1068.94,1053.11,10.8783679,1.08467E+12
1994-12-09,10.3767,-16.03,-1.52,1053.56,1053.6,1037.16,10.85303896,1.07426E+12
1994-12-10,10.3327,-4.4,-0.42,1037.39,1038.38,1024.38,10.20362918,5.2066E+11
1994-12-12,10.4278,9.51,0.92,1034.12,1045.34,1033.83,10.66993166,8.02381E+11
1994-12-13,10.2589,-16.89,-1.62,1042.84,1046.49,1025.88,10.58638236,7.2694E+11
1994-12-14,10.2662,0.73,0.07,1025.57,1034.38,1019.21,10.45903795,6.67214E+11
