Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,300000,305500,283000,305500,267975.125,1483900
2000-01-05,290000,303000,276000,279000,244730.1875,1493600
2000-01-06,287500,289000,279000,281000,246484.5,1087800
2000-01-07,278000,283500,268000,277000,242975.8281,806100
2000-01-10,280000,288500,279000,288500,253063.25,937600
2000-01-11,291000,305000,288500,288500,253063.25,1194900
2000-01-12,280500,287000,280000,286000,250870.375,584400
2000-01-13,280000,287000,278000,285500,250431.75,823800
2000-01-14,286000,294000,284000,291500,255694.8438,987500
2000-01-17,300000,309000,296000,305000,267536.5625,1270100
2000-01-18,308000,308000,299000,305000,267536.5625,905200
2000-01-19,300000,302000,298000,298000,261396.3594,804100
2000-01-20,293000,302000,291000,302000,264905.125,746300
2000-01-21,297500,299000,294000,294000,257887.7188,650700
2000-01-24,290000,295000,285000,285000,249993.2188,687100
2000-01-25,276000,282000,272000,272000,238590,885000
2000-01-26,275000,276000,270500,274000,240344.2969,585700
2000-01-27,274000,281000,271500,276000,242098.6719,558000
2000-01-28,282000,294000,277000,291000,255256.1719,766300
2000-01-31,282000,286500,278000,279000,244730.1875,792600
2000-02-01,280000,284000,263000,266000,233327,1429400
2000-02-02,261000,268500,255500,262500,230256.8906,1282100
2000-02-03,262500,273000,248500,256500,224993.8906,2855300
2000-02-07,257000,266500,252000,262000,229818.3125,1282800
2000-02-08,267000,274000,265500,271500,238151.4063,1169200
2000-02-09,278000,286000,274000,286000,250870.375,1021000
2000-02-10,283000,294000,280000,288000,252624.6563,1236900
2000-02-11,298000,298000,284000,285000,249993.2188,693200
2000-02-14,280000,283000,267000,269000,235958.4688,882800
2000-02-15,269000,271000,257000,260000,228063.9688,766300
2000-02-16,259000,260000,239000,250000,219292.25,1462300
2000-02-17,247000,255000,245500,254000,222800.9688,1303700
2000-02-18,268500,281500,258000,265000,232449.7969,2175000
2000-02-21,260000,263000,251500,253500,222362.3906,529700
2000-02-22,250000,262000,250000,256000,224555.2813,483600
2000-02-23,261000,263000,255000,257000,225432.4688,554400
2000-02-24,256000,262000,253000,253500,222362.3906,521500
2000-02-25,254000,257500,249000,256000,224555.2813,557500
2000-02-28,250000,252500,240000,240000,210520.5938,602800
2000-02-29,245000,257000,242000,256000,224555.2813,1036400
2000-03-02,294000,294000,276000,294000,257887.7188,2355000
