DateFrom,Close,Diff,Ratio,Volume
1,281000,2000,1.007168459,1087800
1,277000,-4000,0.985765125,806100
3,288500,11500,1.041516245,937600
1,288500,0,1,1194900
1,286000,-2500,0.991334489,584400
1,285500,-500,0.998251748,823800
1,291500,6000,1.021015762,987500
3,305000,13500,1.046312178,1270100
1,305000,0,1,905200
1,298000,-7000,0.97704918,804100
1,302000,4000,1.013422819,746300
1,294000,-8000,0.973509934,650700
3,285000,-9000,0.969387755,687100
1,272000,-13000,0.954385965,885000
1,274000,2000,1.007352941,585700
1,276000,2000,1.00729927,558000
1,291000,15000,1.054347826,766300
3,279000,-12000,0.958762887,792600
1,266000,-13000,0.953405018,1429400
1,262500,-3500,0.986842105,1282100
1,256500,-6000,0.977142857,2855300
4,262000,5500,1.021442495,1282800
1,271500,9500,1.036259542,1169200
1,286000,14500,1.053406998,1021000
1,288000,2000,1.006993007,1236900
1,285000,-3000,0.989583333,693200
3,269000,-16000,0.943859649,882800
1,260000,-9000,0.966542751,766300
1,250000,-10000,0.961538462,1462300
1,254000,4000,1.016,1303700
1,265000,11000,1.043307087,2175000
3,253500,-11500,0.956603774,529700
1,256000,2500,1.009861933,483600
1,257000,1000,1.00390625,554400
1,253500,-3500,0.986381323,521500
1,256000,2500,1.009861933,557500
3,240000,-16000,0.9375,602800
1,256000,16000,1.066666667,1036400
2,294000,38000,1.1484375,2355000
1,300000,6000,1.020408163,2819800
3,282000,-18000,0.94,783000
1,281000,-1000,0.996453901,601400
1,296000,15000,1.053380783,649200
1,281000,-15000,0.949324324,1117800
1,277000,-4000,0.985765125,572100
3,259000,-18000,0.935018051,644300
1,260500,1500,1.005791506,601200
1,270000,9500,1.03646833,922100
1,270000,0,1,575900
1,274000,4000,1.014814815,481600
3,283000,9000,1.032846715,527300
1,294000,11000,1.038869258,898500
1,310000,16000,1.054421769,1739500
1,310000,0,1,1299000
1,340000,30000,1.096774194,1805200
3,340000,0,1,1354600
1,351500,11500,1.033823529,1488500
1,383000,31500,1.089615932,1561800
1,352500,-30500,0.920365535,1492900
1,335000,-17500,0.95035461,1277100
3,355000,20000,1.059701493,1136100
1,340000,-15000,0.957746479,1166800
2,334000,-6000,0.982352941,944700
1,360000,26000,1.077844311,847100
3,365000,5000,1.013888889,717700
1,355000,-10000,0.97260274,581500
1,345500,-9500,0.973239437,705000
2,313000,-32500,0.90593343,1247300
3,276000,-37000,0.881789137,1561000
1,302000,26000,1.094202899,1474600
1,300000,-2000,0.993377483,1212300
1,301000,1000,1.003333333,746700
1,302500,1500,1.004983389,528500
3,290000,-12500,0.958677686,556600
1,282000,-8000,0.972413793,698000
1,280000,-2000,0.992907801,785800
1,270000,-10000,0.964285714,1082200
1,300000,30000,1.111111111,1510600
4,314000,14000,1.046666667,1446700
1,309000,-5000,0.984076433,531700
1,309000,0,1,522000
4,328000,19000,1.061488673,1053900
2,317500,-10500,0.967987805,552400
2,308000,-9500,0.97007874,943400
3,322000,14000,1.045454545,942400
1,340000,18000,1.055900621,792400
1,346000,6000,1.017647059,1524700
1,340000,-6000,0.98265896,731600
1,345000,5000,1.014705882,829000
3,333500,-11500,0.966666667,727700
1,319000,-14500,0.956521739,825800
1,310000,-9000,0.971786834,1443000
1,300000,-10000,0.967741935,1719300
1,280000,-20000,0.933333333,1342000
3,273000,-7000,0.975,1342600
2,308000,35000,1.128205128,1678700
1,315000,7000,1.022727273,1004600
1,331000,16000,1.050793651,1687700
3,337000,6000,1.018126888,960200
2,340000,3000,1.008902077,1067300
1,326500,-13500,0.960294118,1171000
1,351000,24500,1.075038285,1277200
3,359500,8500,1.024216524,990300
1,353000,-6500,0.981919332,849900
1,382000,29000,1.082152975,1260400
1,350000,-32000,0.916230366,1224500
1,337000,-13000,0.962857143,1329100
3,335000,-2000,0.994065282,1071200
1,357000,22000,1.065671642,1195800
1,354000,-3000,0.991596639,751700
1,352000,-2000,0.994350282,672700
1,350000,-2000,0.994318182,584300
3,360500,10500,1.03,799600
1,365500,5000,1.013869626,910700
1,376000,10500,1.02872777,945900
1,374500,-1500,0.996010638,1222400
1,369000,-5500,0.985313752,705000
3,375000,6000,1.016260163,519500
1,367500,-7500,0.98,656200
1,371500,4000,1.010884354,497900
1,365000,-6500,0.982503365,1206800
1,368000,3000,1.008219178,811600
3,380000,12000,1.032608696,850100
1,372500,-7500,0.980263158,698900
1,382000,9500,1.025503356,802800
1,388000,6000,1.015706806,976100
1,377500,-10500,0.972938144,608500
4,373000,-4500,0.98807947,392100
1,373000,0,1,392100
1,345000,-28000,0.924932976,806300
1,346000,1000,1.002898551,967900
3,319000,-27000,0.921965318,980300
1,314000,-5000,0.984326019,1134700
1,327500,13500,1.042993631,1094900
1,311500,-16000,0.951145038,870800
1,286500,-25000,0.919743178,1660700
3,295000,8500,1.029668412,932300
1,311000,16000,1.054237288,1062400
1,303500,-7500,0.975884244,743800
1,301500,-2000,0.993410214,556300
1,296000,-5500,0.981757877,472100
3,279000,-17000,0.942567568,575300
1,279000,0,1,669500
1,300000,21000,1.075268817,791400
1,308000,8000,1.026666667,816600
1,298000,-10000,0.967532468,676800
3,301000,3000,1.010067114,474600
2,321000,20000,1.066445183,1038300
1,322000,1000,1.003115265,726900
1,310000,-12000,0.962732919,427400
3,313500,3500,1.011290323,419000
1,323000,9500,1.03030303,554200
1,309500,-13500,0.958204334,558100
1,311000,1500,1.004846527,634000
1,320000,9000,1.028938907,439200
3,316500,-3500,0.9890625,352600
1,311000,-5500,0.982622433,335300
1,301500,-9500,0.969453376,474700
1,273500,-28000,0.907131012,2282400
1,277000,3500,1.012797075,999100
3,267000,-10000,0.963898917,572500
1,257500,-9500,0.964419476,1595300
1,257500,0,1,1062400
